TIC_ID,candidate_number,label
8195886,1,NOISE
8196058,1,NOISE
8196058,2,NOISE
8196058,3,NOISE
8196058,4,NOISE
8196058,5,NOISE
8196285,1,NOISE
8196324,1,NOISE
24195569,1,NOISE
24195569,2,NOISE
24195569,3,NOISE
24195690,1,NOISE
24195690,2,NOISE
24195690,3,NOISE
24195690,4,NOISE
24195690,5,NOISE
24231627,1,NOISE
24231627,2,NOISE
24231627,3,NOISE
24231627,4,NOISE
24231627,5,NOISE
24265684,1,NOISE
24265684,2,NOISE
24265684,3,NOISE
24265684,4,NOISE
24265755,1,NOISE
24265755,2,NOISE
24265859,1,NOISE
24265859,2,NOISE
24265859,3,NOISE
24265859,4,NOISE
24265859,5,NOISE
24292848,1,NOISE
24292848,2,NOISE
24292848,3,NOISE
24292848,4,NOISE
24292848,5,NOISE
24693383,1,NOISE
24693528,1,NOISE
24693528,2,NOISE
24693528,3,NOISE
24693528,4,NOISE
24693528,5,NOISE
24695017,1,NOISE
24695017,2,NOISE
24695017,3,NOISE
24695017,4,NOISE
24695017,5,NOISE
24695711,1,NOISE
24695711,2,NOISE
24695711,3,NOISE
24695711,4,NOISE
24695711,5,NOISE
24695725,1,NOISE
24695725,2,NOISE
24695725,3,NOISE
24695725,4,NOISE
24695725,5,NOISE
24704388,1,NOISE
24704388,2,NOISE
24704388,3,NOISE
24704388,4,NOISE
24704388,5,NOISE
24705603,1,NOISE
24705603,2,NOISE
24705603,3,NOISE
24705603,4,NOISE
24706359,1,NOISE
24706359,2,NOISE
24706359,3,NOISE
24706359,4,NOISE
24706359,5,NOISE
24706893,1,NOISE
24706893,2,NOISE
24706893,3,NOISE
24706893,4,NOISE
24706893,5,NOISE
24750295,1,NOISE
24750915,1,NOISE
24750915,2,NOISE
24750915,3,NOISE
24750915,4,NOISE
24750915,5,NOISE
25064731,1,NOISE
25064731,2,NOISE
25064731,3,NOISE
25064731,4,NOISE
25064731,5,NOISE
25078674,1,NOISE
25078924,1,NOISE
25078924,2,NOISE
25078924,3,NOISE
25078924,4,NOISE
25078924,5,NOISE
25116563,1,NOISE
25116563,2,NOISE
25116563,3,NOISE
25117242,1,NOISE
25117273,1,NOISE
25117273,2,NOISE
25117273,3,NOISE
25117273,4,NOISE
25117273,5,NOISE
25118964,1,NOISE
25118964,2,NOISE
25118964,3,NOISE
25118964,4,NOISE
25118964,5,NOISE
25132265,1,NOISE
25132265,2,NOISE
25132314,1,NOISE
25132314,2,NOISE
25132314,3,NOISE
25132314,4,NOISE
25132314,5,NOISE
25132694,1,NOISE
25132999,1,NOISE
25132999,2,NOISE
25132999,3,NOISE
25132999,4,NOISE
25132999,5,NOISE
25134376,1,NOISE
25134376,2,NOISE
25134376,3,NOISE
25134376,4,NOISE
25134377,1,NOISE
25134377,2,NOISE
25136499,1,NOISE
25136499,2,NOISE
25136560,1,NOISE
25136560,2,NOISE
25136560,3,NOISE
25136560,4,NOISE
25136560,5,NOISE
25139818,1,NOISE
25139818,2,NOISE
25139818,3,NOISE
25139818,4,NOISE
25139818,5,NOISE
25153167,1,NOISE
25153167,2,NOISE
25153167,3,NOISE
25153167,4,NOISE
25153167,5,NOISE
25153635,1,NOISE
25155310,1,PLANET
25155310,2,PLANET
25155310,3,PLANET
25155664,1,NOISE
25155664,2,NOISE
25155664,3,NOISE
25155664,4,NOISE
25155664,5,NOISE
25155698,1,NOISE
25155698,2,NOISE
25155698,3,NOISE
25155698,4,NOISE
